text,category
Please review the attached document for your meeting tomorrow.,important
Your account has been updated successfully.,important
Please confirm your attendance for the upcoming event.,important
"Your password has been changed. If this wasn't you, please contact support.",important
"Your password has been changed. If this wasn't you, please contact support.",important
Your order has been shipped and will arrive in 3-5 days.,important
Please review the attached document for your meeting tomorrow.,important
Please sign and return the attached agreement as soon as possible.,important
Please review the attached document for your meeting tomorrow.,important
The board meeting minutes have been shared in the link below.,important
Your subscription has been renewed successfully.,important
Your account has been updated successfully.,important
Your account has been updated successfully.,important
Please review the attached document for your meeting tomorrow.,important
"Your password has been changed. If this wasn't you, please contact support.",important
"Your password has been changed. If this wasn't you, please contact support.",important
Please sign and return the attached agreement as soon as possible.,important
The board meeting minutes have been shared in the link below.,important
Your account has been updated successfully.,important
Please sign and return the attached agreement as soon as possible.,important
"Your password has been changed. If this wasn't you, please contact support.",important
Please sign and return the attached agreement as soon as possible.,important
Your subscription has been renewed successfully.,important
"Your password has been changed. If this wasn't you, please contact support.",important
You have a meeting scheduled for tomorrow at 10 AM.,important
The board meeting minutes have been shared in the link below.,important
Please confirm your attendance for the upcoming event.,important
Your account has been updated successfully.,important
Your order has been shipped and will arrive in 3-5 days.,important
Your subscription has been renewed successfully.,important
Important notice: The system will undergo maintenance tonight.,important
Please confirm your attendance for the upcoming event.,important
Your order has been shipped and will arrive in 3-5 days.,important
"Your password has been changed. If this wasn't you, please contact support.",important
Important notice: The system will undergo maintenance tonight.,important
Please review the attached document for your meeting tomorrow.,important
Please review the attached document for your meeting tomorrow.,important
Your subscription has been renewed successfully.,important
Please review the attached document for your meeting tomorrow.,important
Important notice: The system will undergo maintenance tonight.,important
Important notice: The system will undergo maintenance tonight.,important
The board meeting minutes have been shared in the link below.,important
Please confirm your attendance for the upcoming event.,important
Your account has been updated successfully.,important
You have a meeting scheduled for tomorrow at 10 AM.,important
Please sign and return the attached agreement as soon as possible.,important
Please review the attached document for your meeting tomorrow.,important
Your subscription has been renewed successfully.,important
Please review the attached document for your meeting tomorrow.,important
Please sign and return the attached agreement as soon as possible.,important
Please confirm your attendance for the upcoming event.,important
The board meeting minutes have been shared in the link below.,important
Important notice: The system will undergo maintenance tonight.,important
The board meeting minutes have been shared in the link below.,important
"Your password has been changed. If this wasn't you, please contact support.",important
Please review the attached document for your meeting tomorrow.,important
Your account has been updated successfully.,important
"Your password has been changed. If this wasn't you, please contact support.",important
Please confirm your attendance for the upcoming event.,important
Please review the attached document for your meeting tomorrow.,important
"Your password has been changed. If this wasn't you, please contact support.",important
Please review the attached document for your meeting tomorrow.,important
Your subscription has been renewed successfully.,important
Please confirm your attendance for the upcoming event.,important
You have a meeting scheduled for tomorrow at 10 AM.,important
Important notice: The system will undergo maintenance tonight.,important
Your order has been shipped and will arrive in 3-5 days.,important
Important notice: The system will undergo maintenance tonight.,important
Important notice: The system will undergo maintenance tonight.,important
"Your password has been changed. If this wasn't you, please contact support.",important
Please confirm your attendance for the upcoming event.,important
Please review the attached document for your meeting tomorrow.,important
The board meeting minutes have been shared in the link below.,important
Your order has been shipped and will arrive in 3-5 days.,important
Please sign and return the attached agreement as soon as possible.,important
"Your password has been changed. If this wasn't you, please contact support.",important
Your order has been shipped and will arrive in 3-5 days.,important
You have a meeting scheduled for tomorrow at 10 AM.,important
Your subscription has been renewed successfully.,important
Please confirm your attendance for the upcoming event.,important
Please sign and return the attached agreement as soon as possible.,important
"Your password has been changed. If this wasn't you, please contact support.",important
Important notice: The system will undergo maintenance tonight.,important
Your account has been updated successfully.,important
"Your password has been changed. If this wasn't you, please contact support.",important
Your account has been updated successfully.,important
Important notice: The system will undergo maintenance tonight.,important
Your subscription has been renewed successfully.,important
Please confirm your attendance for the upcoming event.,important
Please review the attached document for your meeting tomorrow.,important
"Your password has been changed. If this wasn't you, please contact support.",important
The board meeting minutes have been shared in the link below.,important
Important notice: The system will undergo maintenance tonight.,important
"Your password has been changed. If this wasn't you, please contact support.",important
You have a meeting scheduled for tomorrow at 10 AM.,important
Your subscription has been renewed successfully.,important
You have a meeting scheduled for tomorrow at 10 AM.,important
Your order has been shipped and will arrive in 3-5 days.,important
Please confirm your attendance for the upcoming event.,important
Your order has been shipped and will arrive in 3-5 days.,important
"Your password has been changed. If this wasn't you, please contact support.",important
Please sign and return the attached agreement as soon as possible.,important
Please sign and return the attached agreement as soon as possible.,important
Please confirm your attendance for the upcoming event.,important
The board meeting minutes have been shared in the link below.,important
Your subscription has been renewed successfully.,important
The board meeting minutes have been shared in the link below.,important
Your subscription has been renewed successfully.,important
Important notice: The system will undergo maintenance tonight.,important
"Your password has been changed. If this wasn't you, please contact support.",important
Your order has been shipped and will arrive in 3-5 days.,important
Please sign and return the attached agreement as soon as possible.,important
You have a meeting scheduled for tomorrow at 10 AM.,important
Please review the attached document for your meeting tomorrow.,important
Your account has been updated successfully.,important
Please review the attached document for your meeting tomorrow.,important
Your order has been shipped and will arrive in 3-5 days.,important
Your order has been shipped and will arrive in 3-5 days.,important
Your subscription has been renewed successfully.,important
